id,StateCode,StateTouches
1,AB,BC
2,AB,ID
3,AB,MT
4,AB,NT
5,AB,SK
6,AK,BC
7,AL,FL
8,AL,GA
9,AL,MS
10,AL,TN
11,AR,LA
12,AR,MO
13,AR,MS
14,AR,OK
15,AR,TN
16,AR,TX
17,AZ,CA
18,AZ,CO
19,AZ,MX
20,AZ,NM
21,AZ,NV
22,AZ,UT
23,BC,AB
24,BC,ID
25,BC,MT
26,BC,NT
27,BC,WA
28,BC,YT
29,CA,AZ
285,CA,MX
30,CA,NV
31,CA,OR
32,CO,AZ
33,CO,KS
34,CO,NE
35,CO,NM
36,CO,OK
37,CO,UT
38,CO,WY
39,CT,MA
40,CT,NY
41,CT,RI
288,DC,MD
289,DC,VA
42,DE,MD
43,DE,NJ
44,DE,PA
45,FL,AL
46,FL,GA
47,GA,AL
48,GA,FL
286,GA,NC
49,GA,SC
50,GA,TN
51,IA,IL
52,IA,MN
53,IA,MO
54,IA,NE
55,IA,SD
56,IA,WI
57,ID,BC
58,ID,MT
59,ID,NV
60,ID,OR
61,ID,UT
62,ID,WA
63,ID,WY
64,IL,IA
284,IL,IL
65,IL,IN
66,IL,KY
67,IL,MO
68,IL,WI
69,IN,IL
70,IN,KY
71,IN,MI
72,IN,OH
73,KS,CO
74,KS,MO
75,KS,NE
76,KS,OK
77,KY,AR
78,KY,IL
79,KY,IN
80,KY,MO
81,KY,OH
82,KY,TN
83,KY,VA
84,KY,WV
85,LA,AR
86,LA,MS
87,LA,TX
88,MA,CT
89,MA,NH
90,MA,NY
91,MA,RI
92,MA,VT
93,MB,MN
94,MB,ND
95,MB,NT
96,MB,ON
97,MB,SK
291,MD,DC
98,MD,DE
99,MD,PA
100,MD,VA
101,MD,WV
102,ME,NH
103,MI,IL
104,MI,IN
105,MI,OH
106,MI,WI
107,MN,IA
108,MN,ND
109,MN,SD
110,MN,WI
111,MO,AR
112,MO,IA
113,MO,IL
114,MO,KS
115,MO,KY
116,MO,NE
117,MO,OK
118,MO,TN
119,MS,AL
120,MS,AR
121,MS,LA
122,MS,TN
123,MT,AB
124,MT,ID
125,MT,ND
283,MT,SK
127,MT,WY
128,MX,AZ
129,MX,CA
130,MX,NM
131,MX,TX
132,NB,ME
133,NB,NS
134,NB,PE
135,NB,QC
287,NC,GA
136,NC,SC
137,NC,TN
138,NC,VA
281,ND,MB
139,ND,MN
140,ND,MT
141,ND,SD
142,NE,CO
143,NE,IA
144,NE,KS
145,NE,MO
146,NE,SD
147,NE,WY
148,NH,MA
149,NH,ME
150,NH,VT
151,NJ,DE
152,NJ,MD
153,NJ,NY
154,NJ,PA
155,NL,QC
156,NM,AZ
157,NM,CO
158,NM,OK
159,NM,TX
160,NM,UT
161,NS,NB
162,NS,PE
163,NT,AB
164,NT,BC
165,NT,MB
166,NT,SK
167,NT,YT
168,NV,AZ
169,NV,CA
170,NV,ID
171,NV,OR
172,NV,UT
173,NY,CT
174,NY,MA
175,NY,NJ
176,NY,PA
177,NY,QC
178,NY,VT
179,OH,IN
180,OH,KY
181,OH,MI
182,OH,PA
183,OH,WV
184,OK,AR
185,OK,CO
186,OK,KS
187,OK,MO
188,OK,NM
189,OK,TX
190,ON,MB
191,ON,MI
192,ON,MN
193,ON,NY
194,ON,QC
195,OR,CA
196,OR,ID
197,OR,NV
198,OR,WA
199,PA,DE
200,PA,MD
201,PA,NJ
202,PA,NY
203,PA,OH
204,PA,WV
205,PE,NB
206,PE,NS
207,QC,ME
208,QC,NB
209,QC,NH
210,QC,NL
211,QC,NY
212,QC,ON
213,QC,VT
214,RI,CT
215,RI,MA
216,SC,GA
217,SC,NC
218,SD,IA
219,SD,MN
220,SD,MT
221,SD,ND
222,SD,NE
223,SD,WY
224,SK,AB
225,SK,MB
226,SK,MT
227,SK,ND
228,SK,NT
229,TN,AL
230,TN,AR
231,TN,GA
232,TN,KY
233,TN,MO
234,TN,MS
235,TN,NC
236,TN,VA
237,TX,AR
238,TX,LA
239,TX,NM
240,TX,OK
241,UT,AZ
242,UT,CO
243,UT,ID
244,UT,NM
245,UT,NV
246,UT,WY
290,VA,DC
247,VA,KY
248,VA,MD
249,VA,NC
250,VA,TN
251,VA,WV
252,VT,MA
253,VT,NH
254,VT,NY
255,WA,BC
256,WA,ID
257,WA,OR
258,WI,IA
259,WI,IL
260,WI,MI
261,WI,MN
262,WV,KY
263,WV,MD
264,WV,OH
265,WV,PA
266,WV,VA
267,WY,CO
268,WY,ID
269,WY,MT
270,WY,NE
271,WY,SD
272,WY,UT
273,YT,AK
274,YT,BC
275,YT,NT
